	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
13	56001	56	1	Albany County, Wyoming	236115	New single-family housing construction (except for-sale builders)	23	11.8	38.2	1197.8
14	56001	56	1	Albany County, Wyoming	236117	New housing for-sale builders	23	4.6	11.2	350.6
15	56001	56	1	Albany County, Wyoming	236118	Residential remodelers	23	17.4	38.6	1147.2
17	56001	56	1	Albany County, Wyoming	236220	Commercial and institutional building construction	23	8.2	100.4	5426.2
23	56001	56	1	Albany County, Wyoming	238110	Poured concrete foundation and structure contractors	23	5.0	14.8	872.8
25	56001	56	1	Albany County, Wyoming	238140	Masonry contractors	23	5.0	21.2	995.6
26	56001	56	1	Albany County, Wyoming	238160	Roofing contractors	23	4.4	55.6	3132.4
28	56001	56	1	Albany County, Wyoming	238210	Electrical contractors and other wiring installation contractors	23	6.0	39.8	2198.6
29	56001	56	1	Albany County, Wyoming	238220	Plumbing, heating, and air-conditioning contractors	23	16.8	98.4	4057.0
31	56001	56	1	Albany County, Wyoming	238310	Drywall and insulation contractors	23	5.6	6.6	314.0
32	56001	56	1	Albany County, Wyoming	238320	Painting and wall covering contractors	23	3.2	3.8	96.6
33	56001	56	1	Albany County, Wyoming	238330	Flooring contractors	23	4.6	4.4	160.6
35	56001	56	1	Albany County, Wyoming	238350	Finish carpentry contractors	23	5.0	11.8	487.0
36	56001	56	1	Albany County, Wyoming	238910	Site preparation contractors	23	11.4	55.0	2852.2
47	56001	56	1	Albany County, Wyoming	323111	Commercial printing (except screen and books)	32	2.4	13.2	430.2
69	56001	56	1	Albany County, Wyoming	334516	Analytical laboratory instrument manufacturing	33	2.2	12.2	872.0
73	56001	56	1	Albany County, Wyoming	337110	Wood kitchen cabinet and countertop manufacturing	33	3.4	6.4	226.4
98	56001	56	1	Albany County, Wyoming	424710	Petroleum bulk stations and terminals 	42	2.2	0.0	197.8
103	56001	56	1	Albany County, Wyoming	441110	New car dealers	44	4.0	211.8	6756.0
105	56001	56	1	Albany County, Wyoming	441228	Motorcycle, ATV, and all other motor vehicle dealers	44	3.6	15.8	473.4
106	56001	56	1	Albany County, Wyoming	441310	Automotive parts and accessories stores	44	4.0	35.2	845.8
107	56001	56	1	Albany County, Wyoming	441320	Tire dealers	44	3.0	8.6	603.4
112	56001	56	1	Albany County, Wyoming	443142	Electronics stores	44	7.4	60.8	877.0
115	56001	56	1	Albany County, Wyoming	444130	Hardware stores	44	3.0	19.2	489.6
116	56001	56	1	Albany County, Wyoming	444190	Other building material dealers	44	6.6	38.2	1106.2
117	56001	56	1	Albany County, Wyoming	444220	Nursery, garden center, and farm supply stores	44	3.0	24.6	427.2
118	56001	56	1	Albany County, Wyoming	445110	Supermarkets and other grocery (except convenience) stores	44	3.0	195.6	3537.2
124	56001	56	1	Albany County, Wyoming	445310	Beer, wine, and liquor stores	44	4.6	38.4	720.2
130	56001	56	1	Albany County, Wyoming	447110	Gasoline stations with convenience stores	44	11.0	97.8	1400.2
131	56001	56	1	Albany County, Wyoming	447190	Other gasoline stations	44	7.0	69.6	1420.8
132	56001	56	1	Albany County, Wyoming	448120	Women's clothing stores	44	2.2	3.4	23.8
134	56001	56	1	Albany County, Wyoming	448140	Family clothing stores	44	3.4	12.0	312.8
136	56001	56	1	Albany County, Wyoming	448190	Other clothing stores	44	2.8	4.2	83.2
139	56001	56	1	Albany County, Wyoming	451110	Sporting goods stores	45	4.4	5.6	256.4
141	56001	56	1	Albany County, Wyoming	451130	Sewing, needlework, and piece goods stores	45	3.2	11.4	58.8
147	56001	56	1	Albany County, Wyoming	453110	Florists	45	3.4	5.8	110.8
149	56001	56	1	Albany County, Wyoming	453220	Gift, novelty, and souvenir stores	45	2.0	0.0	35.0
150	56001	56	1	Albany County, Wyoming	453310	Used merchandise stores	45	5.8	13.0	432.2
152	56001	56	1	Albany County, Wyoming	453920	Art dealers	45	2.4	1.0	15.2
154	56001	56	1	Albany County, Wyoming	453991	Tobacco stores	45	2.8	1.2	56.8
159	56001	56	1	Albany County, Wyoming	454390	Other direct selling establishments	45	3.8	6.2	191.8
162	56001	56	1	Albany County, Wyoming	484110	General freight trucking, local	48	2.4	3.0	118.6
167	56001	56	1	Albany County, Wyoming	484230	Specialized freight (except used goods) trucking, long-distance	48	2.4	1.8	91.0
169	56001	56	1	Albany County, Wyoming	488410	Motor vehicle towing	48	5.0	16.0	794.4
178	56001	56	1	Albany County, Wyoming	517110	Wired telecommunications carriers	51	4.4	9.8	524.6
184	56001	56	1	Albany County, Wyoming	522110	Commercial banking	52	7.8	90.8	4378.6
185	56001	56	1	Albany County, Wyoming	522130	Credit unions	52	5.0	87.6	4028.2
189	56001	56	1	Albany County, Wyoming	522310	Mortgage and nonmortgage loan brokers	52	2.4	1.8	119.0
190	56001	56	1	Albany County, Wyoming	522390	Other activities related to credit intermediation	52	3.2	3.4	116.0
194	56001	56	1	Albany County, Wyoming	523930	Investment advice	52	3.2	4.2	147.6
199	56001	56	1	Albany County, Wyoming	524210	Insurance agencies and brokerages	52	16.2	46.4	1763.8
201	56001	56	1	Albany County, Wyoming	531110	Lessors of residential buildings and dwellings	53	16.6	67.4	1136.4
202	56001	56	1	Albany County, Wyoming	531120	Lessors of nonresidential buildings (except miniwarehouses)	53	7.2	23.6	417.8
203	56001	56	1	Albany County, Wyoming	531130	Lessors of miniwarehouses and self-storage units	53	3.0	4.2	118.4
205	56001	56	1	Albany County, Wyoming	531210	Offices of real estate agents and brokers	53	13.0	9.8	551.4
206	56001	56	1	Albany County, Wyoming	531311	Residential property managers	53	3.6	5.6	196.4
215	56001	56	1	Albany County, Wyoming	541110	Offices of lawyers	54	35.8	98.2	3987.6
218	56001	56	1	Albany County, Wyoming	541211	Offices of certified public accountants	54	4.4	24.2	1580.2
219	56001	56	1	Albany County, Wyoming	541213	Tax preparation services	54	3.0	4.0	57.6
