	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
2	5001	5	1	Arkansas County, Arkansas	115112	Soil preparation, planting, and cultivating	11	9.0	31.0	2280.0
3	5001	5	1	Arkansas County, Arkansas	115114	Postharvest crop activities (except cotton ginning)	11	4.0	28.4	3008.4
8	5001	5	1	Arkansas County, Arkansas	236220	Commercial and institutional building construction	23	3.0	21.2	1168.2
9	5001	5	1	Arkansas County, Arkansas	237110	Water and sewer line and related structures construction	23	4.8	18.4	410.8
13	5001	5	1	Arkansas County, Arkansas	238160	Roofing contractors	23	3.4	22.4	1295.6
15	5001	5	1	Arkansas County, Arkansas	238210	Electrical contractors and other wiring installation contractors	23	6.8	16.8	1035.0
16	5001	5	1	Arkansas County, Arkansas	238220	Plumbing, heating, and air-conditioning contractors	23	6.8	26.0	829.8
22	5001	5	1	Arkansas County, Arkansas	238910	Site preparation contractors	23	4.6	2.0	191.4
23	5001	5	1	Arkansas County, Arkansas	311212	Rice milling	31	8.0	418.2	20519.6
46	5001	5	1	Arkansas County, Arkansas	423610	Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers	42	4.0	27.8	2618.2
48	5001	5	1	Arkansas County, Arkansas	423820	Farm and garden machinery and equipment merchant wholesalers	42	8.0	129.4	6204.2
56	5001	5	1	Arkansas County, Arkansas	424910	Farm supplies merchant wholesalers	42	9.4	120.6	5711.8
58	5001	5	1	Arkansas County, Arkansas	441110	New car dealers	44	2.2	11.6	420.0
59	5001	5	1	Arkansas County, Arkansas	441120	Used car dealers	44	3.2	2.2	340.4
61	5001	5	1	Arkansas County, Arkansas	441310	Automotive parts and accessories stores	44	5.8	33.4	783.0
65	5001	5	1	Arkansas County, Arkansas	443141	Household appliance stores	44	3.0	12.6	310.0
69	5001	5	1	Arkansas County, Arkansas	444130	Hardware stores	44	3.0	13.4	544.2
71	5001	5	1	Arkansas County, Arkansas	444220	Nursery, garden center, and farm supply stores	44	4.4	70.2	3531.6
72	5001	5	1	Arkansas County, Arkansas	445110	Supermarkets and other grocery (except convenience) stores	44	3.6	110.0	1707.6
73	5001	5	1	Arkansas County, Arkansas	445120	Convenience stores	44	1.5	0.0	13.0
75	5001	5	1	Arkansas County, Arkansas	445310	Beer, wine, and liquor stores	44	3.2	8.4	138.6
76	5001	5	1	Arkansas County, Arkansas	446110	Pharmacies and drug stores	44	6.8	67.0	2828.8
78	5001	5	1	Arkansas County, Arkansas	447110	Gasoline stations with convenience stores	44	14.0	81.6	1391.6
80	5001	5	1	Arkansas County, Arkansas	448120	Women's clothing stores	44	2.0	0.0	19.6
83	5001	5	1	Arkansas County, Arkansas	448210	Shoe stores	44	2.4	0.0	39.2
88	5001	5	1	Arkansas County, Arkansas	452990	All other general merchandise stores	45	5.6	33.4	637.0
90	5001	5	1	Arkansas County, Arkansas	453220	Gift, novelty, and souvenir stores	45	3.0	2.2	45.2
95	5001	5	1	Arkansas County, Arkansas	454310	Fuel dealers	45	2.6	6.2	342.2
98	5001	5	1	Arkansas County, Arkansas	484110	General freight trucking, local	48	3.0	1.2	24.4
99	5001	5	1	Arkansas County, Arkansas	484121	General freight trucking, long-distance, truckload	48	13.0	33.6	1782.4
101	5001	5	1	Arkansas County, Arkansas	484220	Specialized freight (except used goods) trucking, local	48	13.8	36.2	1430.6
102	5001	5	1	Arkansas County, Arkansas	484230	Specialized freight (except used goods) trucking, long-distance	48	5.8	91.6	4215.0
108	5001	5	1	Arkansas County, Arkansas	488510	Freight transportation arrangement	48	9.6	139.6	11379.8
113	5001	5	1	Arkansas County, Arkansas	517110	Wired telecommunications carriers	51	4.6	23.2	1560.6
114	5001	5	1	Arkansas County, Arkansas	517210	Wireless telecommunications carriers (except satellite)	51	1.6	3.6	118.8
118	5001	5	1	Arkansas County, Arkansas	522110	Commercial banking	52	11.8	76.2	7212.8
120	5001	5	1	Arkansas County, Arkansas	522298	All other nondepository credit intermediation	52	2.8	1.2	75.2
124	5001	5	1	Arkansas County, Arkansas	524210	Insurance agencies and brokerages	52	10.8	25.8	917.4
125	5001	5	1	Arkansas County, Arkansas	531110	Lessors of residential buildings and dwellings	53	4.6	10.0	142.0
128	5001	5	1	Arkansas County, Arkansas	531210	Offices of real estate agents and brokers	53	3.0	4.8	173.4
